X1,X2,X3,X4,X5,Y
17.76,13.3,21.96,1.32,13.01,865.64
4.7,12.83,5.18,13.7,29.45,866.53
2.67,10.6,27.83,0.9,-11.81,682.26
9,6.95,25.4,11.27,6.06,663.82
6.26,13.78,25.72,2.45,2.62,592.59
1.94,11.99,23.07,14.52,8.67,575.92
9.43,14.9,11.16,14.88,32.49,376.36
6.76,7.61,13.05,16.12,19.23,183.99
5.15,0.24,6.7,9,10.55,590.13
14.25,5.33,34.31,4,-9.17,277.33
13.14,22.45,22.44,12.9,30.3,484.53
18.72,4.15,10.86,8.82,21.76,317.68
14.22,1.12,22.61,6.28,3.34,742.55
12.39,10.36,12.85,13.43,25.27,113.88
1.67,6.48,32.08,11.42,-9.14,131.34
16.49,7.25,16.79,4.45,16.74,112.99
2.48,9.49,16.88,13.39,7.16,38.82
8.65,9.61,33.77,13.92,4.13,522.54
9.37,5.38,19.17,17.73,15.39,238.41
8.7,20.06,16.67,4.6,19.96,955.95
17.66,7.23,34.42,0.88,-4.95,165.93
10.19,20.55,24.99,7.25,15.69,838.99
10.57,19.16,13.83,8.33,25.94,904.53
18.21,3.79,33.77,10.06,-0.27,725.24
1.62,19.61,5.22,15.37,37.23,805.8
15.49,20.99,8.94,10.21,41.01,448.95
2.14,3.7,29.86,5.81,-13.51,517.36
13.06,24.19,10.6,15.56,47.4,953.12
2.78,21.5,8.64,8.82,25.67,411.93
7.81,19.87,26.5,1.93,7.36,423.08
11.44,18.72,3.99,1.06,27.63,792.41
12.66,22.6,13.93,5.13,30.6,972.26
10.14,1.34,34.75,11.44,-11.35,31.03
3.08,8.25,7.3,12.49,17.86,1076.52
9.23,20.65,15.45,9.85,28.27,1011.95
7.73,23.39,32.87,4.55,5.92,211.3
5.24,17.28,20.79,11.41,15.59,194.23
5.95,7.16,21.03,11.16,8.92,555.53
13.33,20.17,12.91,17.39,42.24,286.77
18.08,19.18,0.96,1.85,37.89,289.59
16.25,21.57,24.43,14.64,32.91,627.21
8.2,10.9,31.03,3.56,-6.53,214.45
11.19,3.28,0.22,12.83,31.7,47.72
18.11,20.19,9.82,8.41,37.26,672.94
4.17,23.42,2.9,9.55,34.3,846.99
